NAME,median_home_value,state,county,tract,GEOID
Census Tract 1.01; Philadelphia County; Pennsylvania,511400.0,42,101,000101,42101000101
Census Tract 1.02; Philadelphia County; Pennsylvania,508100.0,42,101,000102,42101000102
Census Tract 2; Philadelphia County; Pennsylvania,483700.0,42,101,000200,42101000200
Census Tract 3; Philadelphia County; Pennsylvania,669800.0,42,101,000300,42101000300
Census Tract 4.01; Philadelphia County; Pennsylvania,587400.0,42,101,000401,42101000401
Census Tract 4.03; Philadelphia County; Pennsylvania,933000.0,42,101,000403,42101000403
Census Tract 4.04; Philadelphia County; Pennsylvania,344900.0,42,101,000404,42101000404
Census Tract 5; Philadelphia County; Pennsylvania,453300.0,42,101,000500,42101000500
Census Tract 6; Philadelphia County; Pennsylvania,-666666666.0,42,101,000600,42101000600
Census Tract 7.01; Philadelphia County; Pennsylvania,387100.0,42,101,000701,42101000701
Census Tract 7.02; Philadelphia County; Pennsylvania,250600.0,42,101,000702,42101000702
Census Tract 8.01; Philadelphia County; Pennsylvania,724700.0,42,101,000801,42101000801
Census Tract 8.03; Philadelphia County; Pennsylvania,744300.0,42,101,000803,42101000803
Census Tract 8.05; Philadelphia County; Pennsylvania,560600.0,42,101,000805,42101000805
Census Tract 8.06; Philadelphia County; Pennsylvania,363800.0,42,101,000806,42101000806
Census Tract 9.01; Philadelphia County; Pennsylvania,358500.0,42,101,000901,42101000901
Census Tract 9.02; Philadelphia County; Pennsylvania,1036700.0,42,101,000902,42101000902
Census Tract 10.01; Philadelphia County; Pennsylvania,487600.0,42,101,001001,42101001001
Census Tract 10.02; Philadelphia County; Pennsylvania,543600.0,42,101,001002,42101001002
Census Tract 11.01; Philadelphia County; Pennsylvania,452600.0,42,101,001101,42101001101
Census Tract 11.02; Philadelphia County; Pennsylvania,775500.0,42,101,001102,42101001102
Census Tract 12.01; Philadelphia County; Pennsylvania,846200.0,42,101,001201,42101001201
Census Tract 12.03; Philadelphia County; Pennsylvania,-666666666.0,42,101,001203,42101001203
Census Tract 12.04; Philadelphia County; Pennsylvania,766400.0,42,101,001204,42101001204
Census Tract 13.01; Philadelphia County; Pennsylvania,496800.0,42,101,001301,42101001301
Census Tract 13.02; Philadelphia County; Pennsylvania,586900.0,42,101,001302,42101001302
Census Tract 14; Philadelphia County; Pennsylvania,664200.0,42,101,001400,42101001400
Census Tract 15; Philadelphia County; Pennsylvania,568300.0,42,101,001500,42101001500
Census Tract 16; Philadelphia County; Pennsylvania,698800.0,42,101,001600,42101001600
Census Tract 17; Philadelphia County; Pennsylvania,615500.0,42,101,001700,42101001700
Census Tract 18; Philadelphia County; Pennsylvania,605000.0,42,101,001800,42101001800
Census Tract 19; Philadelphia County; Pennsylvania,512300.0,42,101,001900,42101001900
Census Tract 20; Philadelphia County; Pennsylvania,336100.0,42,101,002000,42101002000
Census Tract 21; Philadelphia County; Pennsylvania,353200.0,42,101,002100,42101002100
Census Tract 22; Philadelphia County; Pennsylvania,394000.0,42,101,002200,42101002200
Census Tract 23; Philadelphia County; Pennsylvania,433800.0,42,101,002300,42101002300
Census Tract 24; Philadelphia County; Pennsylvania,469600.0,42,101,002400,42101002400
Census Tract 25; Philadelphia County; Pennsylvania,519200.0,42,101,002500,42101002500
Census Tract 27.01; Philadelphia County; Pennsylvania,375300.0,42,101,002701,42101002701
Census Tract 27.02; Philadelphia County; Pennsylvania,337900.0,42,101,002702,42101002702
Census Tract 28.01; Philadelphia County; Pennsylvania,338000.0,42,101,002801,42101002801
Census Tract 28.02; Philadelphia County; Pennsylvania,350600.0,42,101,002802,42101002802
Census Tract 29; Philadelphia County; Pennsylvania,406100.0,42,101,002900,42101002900
Census Tract 30.01; Philadelphia County; Pennsylvania,245400.0,42,101,003001,42101003001
Census Tract 30.02; Philadelphia County; Pennsylvania,364900.0,42,101,003002,42101003002
Census Tract 31; Philadelphia County; Pennsylvania,297200.0,42,101,003100,42101003100
Census Tract 32; Philadelphia County; Pennsylvania,198100.0,42,101,003200,42101003200
Census Tract 33; Philadelphia County; Pennsylvania,207600.0,42,101,003300,42101003300
Census Tract 36; Philadelphia County; Pennsylvania,190800.0,42,101,003600,42101003600
Census Tract 37.01; Philadelphia County; Pennsylvania,262200.0,42,101,003701,42101003701
Census Tract 37.02; Philadelphia County; Pennsylvania,226400.0,42,101,003702,42101003702
Census Tract 38; Philadelphia County; Pennsylvania,293400.0,42,101,003800,42101003800
Census Tract 39.01; Philadelphia County; Pennsylvania,281000.0,42,101,003901,42101003901
Census Tract 39.02; Philadelphia County; Pennsylvania,278500.0,42,101,003902,42101003902
Census Tract 40.01; Philadelphia County; Pennsylvania,296400.0,42,101,004001,42101004001
Census Tract 40.02; Philadelphia County; Pennsylvania,264500.0,42,101,004002,42101004002
Census Tract 41.01; Philadelphia County; Pennsylvania,228600.0,42,101,004101,42101004101
Census Tract 41.03; Philadelphia County; Pennsylvania,196200.0,42,101,004103,42101004103
Census Tract 41.04; Philadelphia County; Pennsylvania,188200.0,42,101,004104,42101004104
Census Tract 42.01; Philadelphia County; Pennsylvania,256700.0,42,101,004201,42101004201
Census Tract 42.02; Philadelphia County; Pennsylvania,233200.0,42,101,004202,42101004202
Census Tract 54; Philadelphia County; Pennsylvania,209600.0,42,101,005400,42101005400
Census Tract 55; Philadelphia County; Pennsylvania,174700.0,42,101,005500,42101005500
Census Tract 56; Philadelphia County; Pennsylvania,150400.0,42,101,005600,42101005600
Census Tract 60; Philadelphia County; Pennsylvania,153100.0,42,101,006000,42101006000
Census Tract 61; Philadelphia County; Pennsylvania,131100.0,42,101,006100,42101006100
Census Tract 62; Philadelphia County; Pennsylvania,98600.0,42,101,006200,42101006200
Census Tract 63; Philadelphia County; Pennsylvania,76600.0,42,101,006300,42101006300
Census Tract 64; Philadelphia County; Pennsylvania,99300.0,42,101,006400,42101006400
Census Tract 65; Philadelphia County; Pennsylvania,106900.0,42,101,006500,42101006500
Census Tract 66; Philadelphia County; Pennsylvania,78300.0,42,101,006600,42101006600
Census Tract 67; Philadelphia County; Pennsylvania,106600.0,42,101,006700,42101006700
Census Tract 70; Philadelphia County; Pennsylvania,85900.0,42,101,007000,42101007000
Census Tract 71.01; Philadelphia County; Pennsylvania,103200.0,42,101,007101,42101007101
Census Tract 71.02; Philadelphia County; Pennsylvania,84100.0,42,101,007102,42101007102
Census Tract 72; Philadelphia County; Pennsylvania,93200.0,42,101,007200,42101007200
Census Tract 73; Philadelphia County; Pennsylvania,263300.0,42,101,007300,42101007300
Census Tract 74; Philadelphia County; Pennsylvania,80600.0,42,101,007400,42101007400
Census Tract 77; Philadelphia County; Pennsylvania,289700.0,42,101,007700,42101007700
Census Tract 78; Philadelphia County; Pennsylvania,592000.0,42,101,007800,42101007800
Census Tract 79; Philadelphia County; Pennsylvania,499600.0,42,101,007900,42101007900
Census Tract 80; Philadelphia County; Pennsylvania,264800.0,42,101,008000,42101008000
Census Tract 81.01; Philadelphia County; Pennsylvania,116700.0,42,101,008101,42101008101
Census Tract 81.02; Philadelphia County; Pennsylvania,131800.0,42,101,008102,42101008102
Census Tract 82; Philadelphia County; Pennsylvania,187900.0,42,101,008200,42101008200
Census Tract 83.01; Philadelphia County; Pennsylvania,95400.0,42,101,008301,42101008301
Census Tract 83.02; Philadelphia County; Pennsylvania,102000.0,42,101,008302,42101008302
Census Tract 84; Philadelphia County; Pennsylvania,136300.0,42,101,008400,42101008400
Census Tract 85; Philadelphia County; Pennsylvania,162500.0,42,101,008500,42101008500
Census Tract 86.01; Philadelphia County; Pennsylvania,441700.0,42,101,008601,42101008601
Census Tract 86.02; Philadelphia County; Pennsylvania,447400.0,42,101,008602,42101008602
Census Tract 87.01; Philadelphia County; Pennsylvania,579500.0,42,101,008701,42101008701
Census Tract 87.02; Philadelphia County; Pennsylvania,646100.0,42,101,008702,42101008702
Census Tract 88.01; Philadelphia County; Pennsylvania,-666666666.0,42,101,008801,42101008801
Census Tract 88.02; Philadelphia County; Pennsylvania,807500.0,42,101,008802,42101008802
